"Dell OptiPlex GX520 Pentium D 945 3.4GHz 1GB
80GB CDRW/DVD XP Professional Mini-Tower","$149.99"
"Dell OptiPlex GX520 Pentium D 945 3.4GHz
1GB 80GB CDRW/DVD XP Professional Desktop","$149.99"
"Dell OptiPlex 745 Pentium D 920 2.8GHz 1GB
80GB CDRW/DVD XP Professional Mini-Tower","$152.99"
"Dell OptiPlex GX620 Pentium D 820 2.8GHz
2GB 160GB DVD±RW XP Professional Desktop","$159.99"
"Dell OptiPlex GX620 Pentium D 945 3.4GHz
2GB 250GB DVD±RW XP Professional Desktop","$169.99"
"Dell OptiPlex GX620 Pentium D 945 3.4GHz 1GB 400GB
CDRW/DVD XP Professional Ultra Small Form Factor","$189.99"
"HP Compaq dc7700 Pentium D 945 3.4GHz 1GB 80GB CDRW/DVD
XP Professional Convertible Mini-Tower - B","$189.99"
"Dell OptiPlex GX620 Pentium D 945 3.4GHz 2GB
750GB CDRW/DVD FDD XP Professional Desktop - B","$219.99"
"HP Compaq dc5700 MT Core 2 Duo E6300 1.86GHz
1GB 80GB DVD XP Professional - B","$149.99"
"Lenovo ThinkCentre M57p Core 2 Duo E6550 2.33GHz 2GB 160GB DVD±RW No Operating System Small Form Factor","$159.99"
"Dell OptiPlex 745 Core 2 Duo E6300 1.86GHz 1GB
80GB CD XP Professional Ultra Small Form Factor","$159.99"
"HP Compaq dc7800 Core 2 Duo E6550 2.33GHz 2GB
80GB DVD Vista Business Ultra-slim Desktop","$179.99"
"Lenovo ThinkCentre M55p Core 2 Duo E6400 2.13GHz 2GB 80GB DVD FDD XP Professi
