"Description","Price"
"  (2)
Compare
Acer Veriton N VN281G-UA425W (PS.VBG03.008) Nettop Intel Atom D425(1.80GHz) 2GB DDR3 320GB HDD Capacity Intel GMA 3150 Windows 7 Professional 32-bit
 Intel Atom D425(1.80GHz)...
 2GB DDR3 320GB HDD Capac...
 Intel GMA 3150
was: $399.99
now:
$389.99
Free Shipping","$389.99"
"  (33)
Compare
DELL Vostro 230(468-8400) Desktop PC Core 2 Duo E7500(2.93GHz) 2GB DDR3 250GB HDD Capacity Intel GMA X4500 Windows 7 Professional 32-bit
 Core 2 Duo E7500(2.93GHz...
 2GB DDR3 250GB HDD Capac...
 CD/DVD burner (DVD+/-RW)...
was: $499.99
now:
$389.99
Free Shipping","$389.99"
"Compare
HP 500B (XZ827UT#ABA) Desktop PC Pentium E5800(3.20GHz) 2GB DDR3 320GB HDD Capacity Intel GMA 4500 Windows 7 Professional 32-bit
 Pentium E5800(3.20GHz)
 2GB DDR3 320GB HDD Capac...
 Intel GMA 4500
was: $409.00
now:
$399.00
$14.99 Shipping","$399.00"
"Compare
HP 500B (XZ825UT#ABA) Desktop PC Core 2 Duo E7500(2.93GHz) 3GB DDR3 250GB HDD Capacity Intel GMA X4500 Windows 7 Professional 64-bit
 Core 2 Duo E7500(2.93GHz...
 3GB DDR3 250GB HDD Capac...
 Intel GMA X4500
now:
$399.99
$9.99 Shipping","$399.99"
"Compare
lenovo H330 (77801MU) Desktop PC Pentium G620(2.60GHz) 3GB DDR3 500GB HDD Capacity Intel HD Graphics 2000 Windows 7 Home Premium 64-bit
 Pentium G620(2.60GHz)
 3GB DDR3 500GB HDD Capac...
 Intel HD Graphics 2000
now:
$399.99
$21.07 Shipping","$399.99"
"Compare
HP Compaq 4000 Pro (LA069UT#ABA) Desktop PC Pentium E5800(3.20GHz) 2GB DDR3 250GB HDD Capacity Intel GMA 4500 Windows 7 Home Premium 64-bit
 Pentium E5800(3.20GHz)
 2GB DDR3 250GB HDD Capac...
 Intel GMA 4500
was: $499.99
now:
$399.99
$9.99 Shipping","$399.99"
"Compare
lenovo H420 (77521RU) Desktop PC Pentium G620(2.60GHz) 4GB DDR3 500GB HDD Capacity Intel HD Graphics 2000 Windows 7 Home Premium 64-bit
 Pentium G620(2.60GHz)
 4GB DDR3 500GB HDD Capac...
 Intel HD Graphics 2000
was: $449.99
now:
$399.99
$9.99 Shipping","$399.99"
"  (5)
Compare
AMD's new VISION Technology, DX-11, Full HD Support
ASUS Eee Box EB1021-B010E Nettop AMD Dual-Core Processor E-350(1.6GHz) 2GB DDR3 320GB HDD Capacity AMD Radeon HD 6310 Windows 7 Home Premium 64-bit
 AMD Dual-Core Processor ...
 2GB DDR3 320GB HDD Capac...
 AMD Radeon HD 6310
now:
$399.99
Free Shipping","$399.99"
"  (38)
Compare
iBUYPOWER Gamer Power 502D3 Desktop PC Athlon II X2 250(3.0GHz) 4GB DDR3 500GB HDD Capacity Dedicated ATI Radeon HD 5450 Graphics (512MB) Windows 7 Home Premium 64-bit
 Athlon II X2 250(3.0GHz)...
 4GB DDR3 500GB HDD Capac...
 Dedicated ATI Radeon HD ...
was: $449.99
now:
$399.99
$9.99 Shipping","$399.99"
"Compare
DELL Inspiron 560 (i560-1101NBK) Desktop PC Pentium E6700(3.20GHz) 4GB DDR3 1TB HDD Capacity Intel GMA X4500HD Windows 7 Home Premium 64-bit
 Pentium E6700(3.20GHz)
 4GB DDR3 1TB HDD Capacit...
 Intel GMA X4500HD
was: $449.99
now:
$399.99
$9.99 Shipping","$399.99"
